experiment_id,population_size,mutation_rate,max_iterations,max_solutions,fitness,accuracy,precision,recall,f1_score,features_selected,total_features,feature_reduction_percent,baseline_accuracy,accuracy_improvement,feature_efficiency,runtime_ms,selected_features
1,50,0.03,150,1500,0.9736842105263158,0.9736842105263158,0.9802631578947368,0.9634146341463414,0.9709455441338884,6,29,79.31,0.9736842105263158,0.0000,0.162281,76521,"1;2;5;16;23;28"
2,50,0.05,150,1500,0.9824561403508771,0.9824561403508771,0.9866666666666667,0.975609756097561,0.9807432432432432,8,29,72.41,0.9736842105263158,0.0088,0.122807,98074,"1;4;5;7;12;16;17;23"
3,50,0.07,150,1500,0.9912280701754386,0.9912280701754386,0.9932432432432432,0.9878048780487805,0.9904257999496096,6,29,79.31,0.9736842105263158,0.0175,0.165205,94020,"6;10;17;21;23;28"
4,75,0.03,150,1500,1.0,1.0,1.0,1.0,1.0,7,29,75.86,0.9736842105263158,0.0263,0.142857,91068,"1;7;11;16;17;18;23"
5,75,0.05,150,1500,0.9912280701754386,0.9912280701754386,0.9932432432432432,0.9878048780487805,0.9904257999496096,10,29,65.52,0.9736842105263158,0.0175,0.099123,90328,"1;5;7;8;9;11;16;21;23;26"
6,75,0.07,150,1500,0.9824561403508771,0.9824561403508771,0.9866666666666667,0.975609756097561,0.9807432432432432,10,29,65.52,0.9736842105263158,0.0088,0.098246,99610,"0;1;2;4;7;10;12;21;23;24"
7,100,0.03,150,1500,0.9912280701754386,0.9912280701754386,0.9932432432432432,0.9878048780487805,0.9904257999496096,6,29,79.31,0.9736842105263158,0.0175,0.165205,96760,"1;8;16;20;26;28"
8,100,0.05,150,1500,0.9912280701754386,0.9912280701754386,0.9932432432432432,0.9878048780487805,0.9904257999496096,6,29,79.31,0.9736842105263158,0.0175,0.165205,99939,"1;6;10;20;21;24"
9,100,0.07,150,1500,1.0,1.0,1.0,1.0,1.0,8,29,72.41,0.9736842105263158,0.0263,0.125000,87229,"1;2;7;10;19;20;21;24"
