experiment_id,population_size,mutation_rate,max_iterations,max_solutions,fitness,accuracy,precision,recall,f1_score,features_selected,total_features,feature_reduction_percent,baseline_accuracy,accuracy_improvement,feature_efficiency,runtime_ms,selected_features
1,50,0.03,150,1500,0.9824561403508771,0.9824561403508771,0.9809555629802873,0.9809555629802873,0.9809555629802873,10,29,65.52,0.9736842105263158,0.0088,0.098246,86182,"9;10;12;13;14;15;22;24;25;26"
2,50,0.05,150,1500,0.9824561403508771,0.9824561403508771,0.9866666666666667,0.975609756097561,0.9807432432432432,11,29,62.07,0.9736842105263158,0.0088,0.089314,75781,"1;5;8;12;14;16;17;21;22;24;26"
3,50,0.07,150,1500,1.0,1.0,1.0,1.0,1.0,11,29,62.07,0.9736842105263158,0.0263,0.090909,81084,"1;7;10;11;15;16;19;20;21;24;27"
4,75,0.03,150,1500,1.0,1.0,1.0,1.0,1.0,10,29,65.52,0.9736842105263158,0.0263,0.100000,81245,"1;2;4;7;9;10;15;21;23;28"
5,75,0.05,150,1500,0.9912280701754386,0.9912280701754386,0.9932432432432432,0.9878048780487805,0.9904257999496096,7,29,75.86,0.9736842105263158,0.0175,0.141604,82982,"4;11;13;15;23;25;26"
6,75,0.07,150,1500,0.9912280701754386,0.9912280701754386,0.9932432432432432,0.9878048780487805,0.9904257999496096,8,29,72.41,0.9736842105263158,0.0175,0.123904,89193,"7;10;13;18;19;21;25;27"
7,100,0.03,150,1500,0.9912280701754386,0.9912280701754386,0.9932432432432432,0.9878048780487805,0.9904257999496096,10,29,65.52,0.9736842105263158,0.0175,0.099123,93047,"0;1;7;8;11;13;21;23;25;27"
8,100,0.05,150,1500,0.9912280701754386,0.9912280701754386,0.9932432432432432,0.9878048780487805,0.9904257999496096,9,29,68.97,0.9736842105263158,0.0175,0.110136,91137,"1;7;9;12;13;14;18;24;26"
9,100,0.07,150,1500,0.9912280701754386,0.9912280701754386,0.9932432432432432,0.9878048780487805,0.9904257999496096,9,29,68.97,0.9736842105263158,0.0175,0.110136,94816,"0;1;4;9;11;18;21;23;27"
