iteration,alpha_fitness,max_fitness,min_fitness,avg_fitness,alpha_accuracy,alpha_precision,alpha_recall,alpha_f1,features_selected,alpha_mask
1,0.936608,0.936608,0.906316,0.921559,0.982456,0.980956,0.980956,0.980956,14,001001011010000110101101011001
2,0.936608,0.933333,0.908772,0.921871,0.982456,0.980956,0.980956,0.980956,14,001001011010000110101101011001
3,0.936608,0.930058,0.908772,0.918499,0.982456,0.980956,0.980956,0.980956,14,001001011010000110101101011001
