iteration,best_fitness,max_fitness,min_fitness,avg_fitness,best_accuracy,best_precision,best_recall,best_f1,features_selected,best_mask
1,0.949708,0.949708,0.900000,0.923204,0.982456,0.980956,0.980956,0.980956,10,01000011000110011000110000010
2,0.961491,0.961491,0.909474,0.929029,0.991228,0.993243,0.987805,0.990426,9,10000001010100100001110000010
3,0.952982,0.961491,0.916667,0.932081,0.982456,0.980956,0.980956,0.980956,9,10000001010100100001110000010
4,0.952982,0.961491,0.916667,0.933757,0.982456,0.980956,0.980956,0.980956,9,10000001010100100001110000010
5,0.961491,0.961491,0.916667,0.935578,0.991228,0.993243,0.987805,0.990426,9,10000001010100100001110000010
6,0.964795,0.964795,0.916667,0.936322,0.991228,0.993243,0.987805,0.990426,8,10000001011000010000110000010
7,0.964795,0.964795,0.916667,0.937378,0.991228,0.993243,0.987805,0.990426,8,10000001011000010000110000010
8,0.964795,0.964795,0.921082,0.938818,0.991228,0.993243,0.987805,0.990426,8,10000001011000010000110000010
9,0.964795,0.964795,0.921754,0.939881,0.991228,0.993243,0.987805,0.990426,8,10000001011000010000110000010
